"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-19 14:16:43.802 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:43_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:43_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:37.418 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:37_button_569"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:37_button_569","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:37.417 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:37_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:37_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:26.780 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:26_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:26_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:25.993 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:25_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:25_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:24.786 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:24_button_61"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:24_button_61","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:24.677 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:24_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:24_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:12.998 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:12_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:12_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:12.189 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:11_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:11_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 13:51:04.271 +01:00","{""LEVEL"":""Log"",""Message"":""917aa63a8ab112d7e53d4cdf7b9322da_2018\/12\/19 13:51:01_button_3528"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto C Plus""}","application/x-www-form-urlencoded","motorola Moto C Plus","Log","917aa63a8ab112d7e53d4cdf7b9322da_2018/12/19 13:51:01_button_3528","['json']","['Unity3D']","83.134.143.137"
